# y+ ()       
# Time        	patch         	min           	max           	average       
268           	pipe	1.466367e+01	5.684715e+01	4.882699e+01
269           	pipe	1.466367e+01	5.684713e+01	4.881443e+01
270           	pipe	1.466367e+01	5.684711e+01	4.880220e+01
271           	pipe	1.466367e+01	5.684709e+01	4.879027e+01
272           	pipe	1.466367e+01	5.684708e+01	4.877864e+01
273           	pipe	1.466367e+01	5.684706e+01	4.876731e+01
274           	pipe	1.466367e+01	5.684705e+01	4.875627e+01
275           	pipe	1.466367e+01	5.684704e+01	4.874551e+01
276           	pipe	1.466367e+01	5.684702e+01	4.873503e+01
277           	pipe	1.466367e+01	5.684701e+01	4.872481e+01
278           	pipe	1.466367e+01	5.684700e+01	4.871485e+01
279           	pipe	1.466367e+01	5.684699e+01	4.870516e+01
280           	pipe	1.466367e+01	5.684698e+01	4.869571e+01
281           	pipe	1.466367e+01	5.684697e+01	4.868651e+01
282           	pipe	1.466367e+01	5.684696e+01	4.867755e+01
283           	pipe	1.466367e+01	5.684695e+01	4.866881e+01
284           	pipe	1.466367e+01	5.684694e+01	4.866031e+01
285           	pipe	1.466367e+01	5.684693e+01	4.865202e+01
286           	pipe	1.466367e+01	5.684692e+01	4.864395e+01
287           	pipe	1.466367e+01	5.684692e+01	4.863609e+01
288           	pipe	1.466367e+01	5.684691e+01	4.862844e+01
289           	pipe	1.466367e+01	5.684690e+01	4.862099e+01
290           	pipe	1.466367e+01	5.684690e+01	4.861373e+01
291           	pipe	1.466367e+01	5.684689e+01	4.860666e+01
292           	pipe	1.466367e+01	5.684688e+01	4.859978e+01
293           	pipe	1.466367e+01	5.684688e+01	4.859309e+01
294           	pipe	1.466367e+01	5.684687e+01	4.858657e+01
295           	pipe	1.466367e+01	5.684687e+01	4.858022e+01
296           	pipe	1.466367e+01	5.684686e+01	4.857404e+01
297           	pipe	1.466367e+01	5.684686e+01	4.856803e+01
298           	pipe	1.466367e+01	5.684685e+01	4.856218e+01
299           	pipe	1.466367e+01	5.684685e+01	4.855648e+01
300           	pipe	1.466367e+01	5.684685e+01	4.855094e+01
301           	pipe	1.466367e+01	5.684684e+01	4.854555e+01
302           	pipe	1.466367e+01	5.684684e+01	4.854030e+01
303           	pipe	1.466367e+01	5.684683e+01	4.853520e+01
304           	pipe	1.466367e+01	5.684683e+01	4.853024e+01
305           	pipe	1.466367e+01	5.684683e+01	4.852541e+01
306           	pipe	1.466367e+01	5.684683e+01	4.852071e+01
307           	pipe	1.466367e+01	5.684682e+01	4.851614e+01
308           	pipe	1.466367e+01	5.684682e+01	4.851169e+01
309           	pipe	1.466367e+01	5.684682e+01	4.850737e+01
310           	pipe	1.466367e+01	5.684682e+01	4.850317e+01
311           	pipe	1.466367e+01	5.684681e+01	4.849909e+01
312           	pipe	1.466367e+01	5.684681e+01	4.849511e+01
313           	pipe	1.466367e+01	5.684681e+01	4.849125e+01
314           	pipe	1.466367e+01	5.684681e+01	4.848750e+01
315           	pipe	1.466367e+01	5.684681e+01	4.848385e+01
316           	pipe	1.466367e+01	5.684680e+01	4.848031e+01
317           	pipe	1.466367e+01	5.684680e+01	4.847687e+01
318           	pipe	1.466367e+01	5.684680e+01	4.847352e+01
319           	pipe	1.466367e+01	5.684680e+01	4.847028e+01
320           	pipe	1.466367e+01	5.684680e+01	4.846712e+01
321           	pipe	1.466367e+01	5.684680e+01	4.846406e+01
322           	pipe	1.466367e+01	5.684679e+01	4.846109e+01
323           	pipe	1.466367e+01	5.684679e+01	4.845820e+01
324           	pipe	1.466367e+01	5.684679e+01	4.845540e+01
325           	pipe	1.466367e+01	5.684679e+01	4.845268e+01
326           	pipe	1.466367e+01	5.684679e+01	4.845005e+01
